,corner,position,grade,first_move,second_move,third_move
593,27,29,1,F',,
594,27,15,2,F,U',
595,27,15,2,D,R,
596,27,15,2,L',F,
597,27,15,2,D2,U,
598,27,17,2,D,R2,
599,27,17,2,D',B2,
600,27,17,2,F2,U',
601,27,17,2,L2,U,
602,27,30,1,D,,
603,27,32,2,D,R',
604,27,32,2,L,B,
605,27,32,2,F',D,
606,27,41,2,F,L2,
607,27,41,2,F',D2,
608,27,41,2,D2,B2,
609,27,41,2,L2,B,
610,27,43,2,F2,R2,
611,27,43,2,D2,B',
612,27,43,2,L2,B2,
613,27,46,1,L2,,
614,27,48,1,D2,,
615,27,33,2,F,L,
616,27,33,2,D,F,
617,27,33,2,L,D,
618,27,35,2,L,D2,
619,27,35,2,L',F2,
620,27,35,2,F2,R',
621,27,38,1,L,,
622,27,40,2,L,D',
623,27,40,2,F',R',
624,27,40,2,D',B,
625,27,40,2,D2,R,
626,29,1,2,R,U2,
627,29,1,2,R',B2,
628,29,1,2,F2,L',
629,29,1,2,D2,L,
630,29,3,2,R,U',
631,29,3,2,D,B,
632,29,3,2,F',R,
633,29,6,2,R,U,
634,29,6,2,F,L',
635,29,6,2,D',F,
636,29,8,1,R,,
637,29,9,2,D,B2,
638,29,9,2,D',L2,
639,29,9,2,R2,U',
640,29,9,2,F2,U,
641,29,11,2,R,F',
642,29,11,2,F',U,
643,29,11,2,D',L',
644,29,24,2,F,D',
645,29,24,2,R',B',
646,29,24,2,D',L,
647,29,24,2,R2,D,
648,29,26,1,D',,
649,29,12,1,F2,,
650,29,14,1,F',,
651,29,27,1,F,,
652,29,15,2,D,R2,
653,29,15,2,D',F2,
654,29,15,2,R2,U,
655,29,15,2,F2,U',
656,29,17,2,D,R',
657,29,17,2,R',B,
658,29,17,2,F',U',
659,29,30,2,R,F,
660,29,30,2,F,D,
661,29,30,2,D,R,
662,29,30,2,R2,D',
663,29,32,1,D,,
664,29,41,1,D2,,
665,29,43,2,F',R2,
666,29,43,2,R2,B',
667,29,43,2,D2,B,
668,29,46,2,F,L2,
669,29,46,2,F',U2,
670,29,46,2,R2,B,
671,29,46,2,D2,B',
672,29,48,1,R2,,
673,29,33,2,R,F2,
674,29,33,2,R',D2,
675,29,33,2,F2,L,
676,29,33,2,D2,L',
677,29,35,2,R',D',
678,29,35,2,F',R',
679,29,35,2,D',F',
680,29,38,2,F,L,
681,29,38,2,D,B',
682,29,38,2,R',D,
683,29,40,1,R',,
684,15,1,2,U,L',
685,15,1,2,R,B,
686,15,1,2,F',U,
687,15,3,2,F,R2,
688,15,3,2,F',U2,
689,15,3,2,U2,B',
690,15,3,2,R2,B,
691,15,6,1,F',,
692,15,8,2,U',R',
693,15,8,2,R',F',
694,15,8,2,F',U',
695,15,9,1,U2,,
696,15,11,2,R,U2,
697,15,11,2,R',F2,
698,15,11,2,U2,L,
699,15,11,2,F2,L',
700,15,24,2,R,B2,
701,15,24,2,U',D,
702,15,24,2,R',D2,
703,15,24,2,U2,L',
704,15,24,2,F2,L,
705,15,26,1,F2,,
706,15,12,1,U,,
707,15,14,2,U,F,
708,15,14,2,R,U,
709,15,14,2,F,R,
710,15,27,2,U,F',
711,15,27,2,U',D2,
712,15,27,2,R',D',
713,15,27,2,F',L,
714,15,29,2,U,F2,
715,15,29,2,U',R2,
716,15,29,2,R2,D',
717,15,29,2,F2,D,
718,15,17,1,R,,
719,15,30,1,R',,
720,15,32,1,R2,,
721,15,41,2,U,L2,
722,15,41,2,U',B2,
723,15,41,2,R2,D,
724,15,41,2,F2,D',
725,15,43,2,F,R',
726,15,43,2,U',B',
727,15,46,2,R,U',
728,15,46,2,U',B,
729,15,46,2,F',L',
730,15,48,1,U',,
731,15,33,2,U,L,
732,15,33,2,F,D',
733,15,33,2,R',F,
734,15,35,1,F,,
735,15,38,2,F,D2,
736,15,38,2,F',L2,
737,15,38,2,U2,B,
738,15,38,2,R2,B',
739,15,40,2,R,B',
740,15,40,2,F,D,
741,15,40,2,U',R,
742,17,1,1,B,,
743,17,3,2,U,R,
744,17,3,2,R,B,
745,17,3,2,B,U,
746,17,6,2,B,U',
747,17,6,2,U',L,
748,17,6,2,R',F',
749,17,8,2,B,U2,
750,17,8,2,B',R2,
751,17,8,2,U2,F,
752,17,8,2,R2,F',
753,17,9,2,R,B2,
754,17,9,2,R',U2,
755,17,9,2,U2,L',
